Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Scalp	32/57	3.52353029557643E-33	2.6003653581354055E-30	0	0	40.56760655737705	3031.448665709078	KRT40;KRT33A;KRTAP4-4;KRTAP4-3;KRTAP1-5;KRTAP3-3;KRTAP2-4;KRTAP4-2;KRTAP3-2;KRTAP4-1;KRTAP2-3;KRTAP1-3;KRTAP3-1;KRTAP2-2;KRTAP2-1;KRTAP1-1;KRTAP9-4;KRTAP4-9;KRTAP9-3;KRTAP4-8;KRTAP9-2;KRTAP4-7;KRTAP4-6;KRTAP17-1;KRTAP4-5;KRT35;KRTAP9-9;KRTAP9-8;KRT39;KRTAP4-12;KRT38;KRTAP4-11
dr9	7/19	1.2231573865517848E-6	4.513450756376086E-4	0	0	17.77191601049869	241.94819782703001	HLA-DRB5;HLA-B;HLA-DPB1;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1
Cuticle	11/62	3.9259668220140145E-6	9.657878382154475E-4	0	0	6.5994530934402285	82.1493183886618	KRT33B;KRT33A;NEK9;KRT38;KRT36;KRT35;KRT34;KRTAP2-4;KRT32;KRT31;KRT40
Stratified epithelium	9/48	1.8717227343267483E-5	0.002993463118314411	0	0	7.043018592781626	76.6707667185031	KRTDAP;KRT19;KRT17;KRT16;KRT15;KRT14;KRT13;DMKN;SBSN
Columnar cell	6/19	2.0280915435734492E-5	0.002993463118314411	0	0	14.038461538461538	151.69723222143443	KRT19;KRT17;KRT14;KRT13;KRT20;LGR5
Psmb	5/19	2.6832822031011745E-4	0.030562571646054335	0	0	10.845481049562682	89.18564023848921	COL11A2;TAP2;HSD17B8;PSMB8;PSMB9
Skin epithelium	4/11	2.898888909517349E-4	0.030562571646054335	0	0	17.331840573219882	141.1853959031057	KRT17;KRT16;COL22A1;KRT14
Lymphocyte	10/84	3.52540371553052E-4	0.03232800133321737	0	0	4.1233321929524465	32.781915186685445	SERPINA1;ALDH5A1;CHAT;AGTR1;CXCR5;HLA-DPB1;SOX6;AIF1;COX6B1;AES
Plasma cell	21/286	3.942439186977728E-4	0.03232800133321737	0	0	2.436441527663841	19.09814621720047	SERPINA3;SERPINA1;TNXB;SERPINA10;SERPINA6;CP;THBS1;SERPINA4;C2;SERPINA5;ASGR2;C4B;C4A;APOM;HLA-DMB;APMAP;COL6A3;FAM65B;HYOU1;GPLD1;CFB
Epithelial stem cell	4/14	8.14253415837528E-4	0.06009190208880956	0	0	12.130407523510971	86.28648689646985	KRT19;KRT15;KRT14;LGR5
Plant candle	3/7	0.001046087907077731	0.07018298867485141	0	0	22.715962441314552	155.89278719020342	KIAA0753;EMR2;PSMB8
Uroepithelium	8/68	0.0014628167513440064	0.0899632302076564	0	0	4.0584647739221875	26.491188144456114	UPK1A;KRT17;UPK2;HMBS;KRT14;KRT13;SLC16A11;KRT20
KE-37 cell	3/8	0.0016338905042459107	0.09275470708719093	0	0	18.17183098591549	116.60484689653762	TMEM132D;CLEC10A;PDLIM5
Pavement epithelium	5/28	0.001786281059284675	0.0941625301251493	0	0	6.59852569790458	41.752959487262345	KRT19;KRT17;KRT16;KRT14;KRT13
Myenteric plexus	6/43	0.0023699091159984412	0.1133240631796937	0	0	4.926313105558388	29.77908818244503	PSENEN;NPY;CHAT;GAST;FOS;SLC18A3
Microspore	5/30	0.0024568902586383458	0.1133240631796937	0	0	6.070015698587127	36.4738675574963	LPHN1;UCK1;VARS;SERPINA5;BATF
NG-108-15 cell	4/19	0.0027752784287603995	0.12047973414265735	0	0	8.084848484848484	47.59553700387522	PSENEN;GNA15;GNA11;CHAT
Immune system	50/1046	0.0032770891530538404	0.13436065527520746	0	0	1.5570728861391512	8.9077021060428	SERPINA1;TNF;C4B;HPGDS;CD97;H2AFX;HLA-B;HLA-C;FOS;RUNX3;PGF;MAG;AGTR1;LTA;IRF8;LCP2;LTB;DOCK2;CFB;HLA-DQB2;HLA-DQB1;PTGER1;NOTCH4;GMPS;CXCR4;TXN;CBL;AIF1;THBS1;HLA-DMA;NT5E;NPY;S1PR3;HLA-DQA1;MICA;HLA-DRB5;SEMA4D;GADD45B;CP;PSMB8;PSMB9;BATF;KRT14;HLA-DPB1;CDK1;HLA-DRA;FXYD5;HAMP;HLA-DRB1;HSPA1A
MEL-JUSO cell	3/11	0.004479473454439321	0.17399217944085363	0	0	11.355633802816902	61.41410392447709	HLA-DMA;TAP2;TAP1
Amniotic fluid	6/52	0.006209863895381717	0.22914397773958536	0	0	3.9606234618539786	20.12636874304722	NT5E;SERPINA1;TNF;PGF;RHCE;RHD
Metacercaria	3/13	0.0074017708132806045	0.25045765415790466	0	0	9.083568075117372	44.56431206043827	MRS2;LSR;PRRC2A
ae3	6/54	0.007466217332620464	0.25045765415790466	0	0	3.7952044025157234	18.586507999360272	KRT19;KRT17;KRT16;KRT14;KRT13;KRT20
Sweat gland	4/27	0.01026198180289075	0.32927576393623365	0	0	5.270546544909363	24.13546280768772	KRT19;KRT15;KRT14;SLC18A3
Gastric ulcer	3/15	0.011227393429022589	0.33715148307502174	0	0	7.568857589984351	33.979619008727596	ATP4A;GAST;TNF
Peripheral blood	8/96	0.012061483724495876	0.33715148307502174	0	0	2.7631201605965012	12.20674111629284	NCR3;CYP21A2;KIF26B;RCAN3;HLA-B;HLA-DPB1;DLST;HLA-DRB1
Vagus nerve	4/29	0.013206196508475248	0.33715148307502174	0	0	4.848401253918495	20.97936738151947	CHAT;GAST;FOS;SLC18A3
Marrow	8/98	0.013546810598124228	0.33715148307502174	0	0	2.7014370837714687	11.620512942352581	HLA-B;HLA-DPB1;HLA-C;CXCR4;FXYD5;TNF;HLA-DRB1;CD22
SUM-149 cell	2/6	0.014162189668462975	0.33715148307502174	0	0	15.1203125	64.36988539244841	IRX5;IRX3
Blastocyte	2/6	0.014162189668462975	0.33715148307502174	0	0	15.1203125	64.36988539244841	DDX6;HSPA1B
Fbt	2/6	0.014162189668462975	0.33715148307502174	0	0	15.1203125	64.36988539244841	WRN;SLC18A3
Gut epithelium	2/6	0.014162189668462975	0.33715148307502174	0	0	15.1203125	64.36988539244841	FFAR3;FFAR2
Gastric juice	4/30	0.014859939582997854	0.342707356632888	0	0	4.661683144441765	19.621426683607165	ATP4A;GAST;CBL;KRT40
Tentacle	3/17	0.016000981478999202	0.3524862543861497	0	0	6.48692152917505	26.824103052282805	PIWIL1;TIMM13;BTNL2
Pharynx	27/541	0.016239204131611232	0.3524862543861497	0	0	1.6095283287463225	6.631782953140018	SLC44A4;TMED10;DDX24;RPLP1;COX4I1;HLA-DMA;HLA-DMB;ZXDC;SVEP1;CLIC1;HLA-DQA1;HLA-DPA1;HLA-B;KRT13;ACOT13;EIF1;RPS25;KRT19;DDX39A;KRT17;FXYD3;KRT16;KRT14;HLA-DRA;LY6G5B;HLA-DRB1;FARSB
Gametocyte	3/18	0.018751684668169157	0.36727130982513767	0	0	6.05414710485133	24.074144518880953	GINS2;DDX6;SPATA19
RT-4 cell	2/7	0.019408646454173943	0.36727130982513767	0	0	12.095625	47.68139667594933	UPK2;THAP2
Uterine lavage	2/7	0.019408646454173943	0.36727130982513767	0	0	12.095625	47.68139667594933	SERPINA4;PGF
Embryonic germ cell	2/7	0.019408646454173943	0.36727130982513767	0	0	12.095625	47.68139667594933	FOXR1;PHLDB1
mp10	2/7	0.019408646454173943	0.36727130982513767	0	0	12.095625	47.68139667594933	ZDHHC7;NCMAP
Conjunctiva	5/49	0.020002615432582634	0.3690482547311496	0	0	3.445483088340231	13.478358564422406	KRT19;KRT15;KRT13;KRT12;TNF
Pancreatic beta cell	6/68	0.021779686842223808	0.39203436316002854	0	0	2.9360925136944616	11.235772886202408	FFAR3;FFAR2;FFAR1;HLA-DQB2;HLA-DQA1;HLA-DQB1
Submucosa	5/51	0.02339746743292684	0.39779111893605795	0	0	3.2953382021705004	12.374415077873804	ATP4A;NPY;CHAT;GAST;TNF
Autonomic nervous system	6/70	0.024742962232776892	0.39779111893605795	0	0	2.844044811320755	10.520730907775322	NPY;CHAT;GAST;FOS;TNF;SLC18A3
Enteroendocrine cell	4/35	0.02505255456756217	0.39779111893605795	0	0	3.9087875417130147	14.41083769228119	FFAR3;FFAR2;GAST;LGR5
Mucoepidermoid carcinoma cell	2/8	0.0253335807452503	0.39779111893605795	0	0	10.079166666666667	37.047231548025096	JUP;EMC8
Rhizome	2/8	0.0253335807452503	0.39779111893605795	0	0	10.079166666666667	37.047231548025096	CHCHD6;TNF
Epithelial lining fluid	2/8	0.0253335807452503	0.39779111893605795	0	0	10.079166666666667	37.047231548025096	ZRANB3;SERPINA1
Chorionic villus	3/21	0.028474073886323188	0.437788886002219	0	0	5.04434011476265	17.951602353806134	CYP21A2;RHCE;RHD
Bursa of Fabricius	2/9	0.03188816791817235	0.46144054752178815	0	0	8.638839285714285	29.76529569241882	TXNRD3;LY6G5B
Uveal melanoma cell	2/9	0.03188816791817235	0.46144054752178815	0	0	8.638839285714285	29.76529569241882	GNA11;PALM2
KM-H2 cell	2/9	0.03188816791817235	0.46144054752178815	0	0	8.638839285714285	29.76529569241882	GNG7;PRRC2B
Bulb	3/23	0.03617497264554174	0.5037194304228264	0	0	4.53943661971831	15.068150364750649	KRT15;KRTAP4-3;GAST
F-9 cell	3/23	0.03617497264554174	0.5037194304228264	0	0	4.53943661971831	15.068150364750649	TAF1C;FOS;JDP2
Sapling	2/10	0.03902601034496178	0.5143070649032463	0	0	7.55859375	24.516502329887953	GAPDHS;SLC15A4
Sporulating cell	2/10	0.03902601034496178	0.5143070649032463	0	0	7.55859375	24.516502329887953	KCNIP4;MED27
Colonocyte	2/10	0.03902601034496178	0.5143070649032463	0	0	7.55859375	24.516502329887953	SLC44A4;CYP24A1
Vasculature	8/121	0.041284949029110105	0.5345314453242677	0	0	2.1490187320286984	6.849475589325411	NOTCH4;MCAM;NPY;AGTR1;CXCR4;TNF;THBS1;PGF
Blood platelet	199/5583	0.043325035326365655	0.5512737253596182	0	0	1.165910028543733	3.659820293631162	SERPINE2;VARS;AVIL;LST1;TXNDC17;C4B;C4A;CNST;AP1S3;C19ORF55;MBNL1;ATP6V1G2;GLCE;NFKBIL1;HLA-B;HLA-C;ANK3;ACSL3;THAP2;KRT9;DDX39A;DDX39B;CSNK2B;SPATA19;CFB;NLRX1;ANP32A;TSHZ3;VPS26B;TXN;MED12L;C2;ATP5L;KRT33B;KRT33A;PGBD3;RIC8B;HLA-DRB5;JUP;TMEM50A;SLC33A1;BTBD11;CP;PRRC2A;EIF1;SETX;ATP4A;RPS25;UCK1;GIPC1;PLCH1;HYOU1;AVL9;C2CD2L;FARSB;MRS2;CLIC4;SERPINA1;RPLP1;TECR;KRT23;KRT20;CD3D;SERPINA4;CASP14;SYNCRIP;C14ORF1;UBXN4;CLIC1;ACAD8;KRT35;KRT34;TEX15;KRT32;KRT31;MRPL44;ALDH5A1;KRT39;KRT38;KRT37;KRT36;TIMM13;DLST;CXCR4;HSD17B8;RHD;KIAA0513;PPP2CB;NT5E;LY6G6D;EMC8;LY6G6F;JAM3;P2RY12;HSPA1L;GSR;KRT13;KRT12;PSMB8;MLH3;PSMB9;ARCN1;C12ORF23;KRT19;KRT17;C6ORF47;KRT16;KRT15;KIF26B;KRT14;HLA-DPB1;PKN1;LY6G5B;HSPA1B;HSPA1A;DPAGT1;PHLDB1;OGDHL;APMAP;TEKT1;COTL1;SLC39A7;GYG1;SLC39A3;TAP2;TAP1;ACOT13;UBE4A;ACYP1;ALG10;COX6B1;C6ORF25;ILVBL;MSH5;GAPDHS;WDFY1;RHCE;DDX6;TMED10;SUCNR1;CHAT;GMPS;ALOX12;GTF2E2;KRT40;BAG6;ARHGAP21;PDZD3;ESPNL;PLXNA1;SMYD3;UBE2F;TMEM132C;NEK9;DARS;EIF2B2;RBPMS;TRAPPC4;OSBPL3;LSM2;LSM7;SKIV2L;DOCK4;COX4I1;LMNB2;ABHD16A;LRRFIP1;GPSM3;TSFM;HSDL1;H2AFX;C10ORF11;KCNAB1;LSR;DDAH2;CRY1;LCP2;LCT;DOCK2;PFDN4;NDUFB7;ATP2C2;AGPAT1;CBL;THBS1;U2AF1L4;RAB21;DNAJB1;GNA15;NCLN;GNG7;GNA11;ACSS1;PDLIM5;SEMA4D;SGTA;ZFC3H1;SYT10;ERCC6
Prepupa	2/11	0.04670303228075862	0.5559167390838687	0	0	6.7184027777777775	20.584824562615186	TREH;DLST
Anterior pharynx	2/11	0.04670303228075862	0.5559167390838687	0	0	6.7184027777777775	20.584824562615186	PSENEN;TMED10
rj2.2.5	2/11	0.04670303228075862	0.5559167390838687	0	0	6.7184027777777775	20.584824562615186	HLA-DRA;HLA-DQA2
MEL-HO cell	2/11	0.04670303228075862	0.5559167390838687	0	0	6.7184027777777775	20.584824562615186	TAP2;TAP1
Fetal membrane	3/26	0.04950991347377439	0.5799732721213571	0	0	3.9467238211879976	11.862203485947637	NT5E;TNF;PGF
Barrett's esophagus	3/27	0.054415911032696836	0.6230693185069878	0	0	3.7820813771518	11.010012126108967	ATP4A;KRT13;GAST
Preputial gland	2/12	0.054877379001292956	0.6230693185069878	0	0	6.04625	17.550172082630258	MOGAT1;ATP2C2
Basophilic leukemia cell	2/13	0.06350931999500382	0.6745075767406694	0	0	5.496306818181818	15.150946858452429	GNA15;GNA11
Brown adipose tissue	2/13	0.06350931999500382	0.6745075767406694	0	0	5.496306818181818	15.150946858452429	ABHD16A;COX4I1
Gastric epithelium cell line	2/13	0.06350931999500382	0.6745075767406694	0	0	5.496306818181818	15.150946858452429	GSE1;RUNX3
Leukocyte	11/203	0.06358051506050705	0.6745075767406694	0	0	1.7401776281035393	4.794969352277726	NT5E;KRT19;ATP6V1G2;TNXB;JUP;CTDSP2;HLA-DPB1;CXCR4;FXYD5;HAUS5;HLA-DRB1
Myoepithelium	3/29	0.06489165033683947	0.6745075767406694	0	0	3.4907908992416035	9.547439887392818	KRT19;KRT17;KRT14
Subcutaneous adipose tissue	3/29	0.06489165033683947	0.6745075767406694	0	0	3.4907908992416035	9.547439887392818	FTO;SERPINA12;EMC8
Adrenocortical carcinoma cell	2/14	0.07256115608851363	0.7050889095526373	0	0	5.038020833333333	13.21636872534981	ATF6B;CYP21A2
Gastrointestinal mucosa	2/14	0.07256115608851363	0.7050889095526373	0	0	5.038020833333333	13.21636872534981	ATP4A;GAST
Ascidian	3/31	0.07621631249693302	0.7050889095526373	0	0	3.2411133467471496	8.343208391444389	PIWIL1;C10ORF11;RNF5
Muscle stem cell	2/15	0.08199713025238008	0.7050889095526373	0	0	4.650240384615385	11.630581505021471	PAX3;CCDC140
SW-1116 cell	2/15	0.08199713025238008	0.7050889095526373	0	0	4.650240384615385	11.630581505021471	TRAPPC4;XAF1
Tailbud stage	2/15	0.08199713025238008	0.7050889095526373	0	0	4.650240384615385	11.630581505021471	FOXR1;PAX3
nd7/23	2/15	0.08199713025238008	0.7050889095526373	0	0	4.650240384615385	11.630581505021471	SCN1B;DRGX
NCI-H226Br cell	3/33	0.0883423674253131	0.7050889095526373	0	0	3.0247261345852894	7.339605265172307	FFAR3;FFAR2;FFAR1
Natural killer cell line	3/33	0.0883423674253131	0.7050889095526373	0	0	3.0247261345852894	7.339605265172307	NCR3;HLA-C;MICA
Chondroblast	2/16	0.09178334216211738	0.7050889095526373	0	0	4.317857142857143	10.312443810721309	NT5E;SOX6
Claw	2/16	0.09178334216211738	0.7050889095526373	0	0	4.317857142857143	10.312443810721309	MRS2;LGI4
Hca-F cell	2/16	0.09178334216211738	0.7050889095526373	0	0	4.317857142857143	10.312443810721309	PTPRR;CLIC1
Adult	37/918	0.09188626579355731	0.7050889095526373	0	0	1.282631495014118	3.061902661003291	FTO;GRIA1;PIWIL1;SERPINA1;NOTCH4;CHAT;CXCR4;SERPINA6;TNF;AIF1;HPGDS;NT5E;NPY;GAST;SOX6;HLA-DQA1;SLC18A3;MBNL1;MCAM;GSR;PAX3;FOS;CP;PGF;ATP4A;MAG;KRT19;CYP21A2;KRT14;AGTR1;SCLY;LCT;HAMP;LGR5;HLA-DRB1;CD22;HSPA1A
U2-OS cell	3/34	0.09469000443722653	0.7050889095526373	0	0	2.9270028774799335	6.8993755661300105	WRN;H2AFX;CDK1
Lymph	32/784	0.09825032422401035	0.7050889095526373	0	0	1.2979420997558424	3.011532930993204	VARS;ANP32A;DDX24;RPLP1;OAZ1;BAG6;HLA-DQA1;HLA-DPA1;BRD2;SGTA;HLA-B;HLA-C;ACOT13;PSMB8;PRRC2A;RPS25;C6ORF48;DDX39A;DDX39B;ILVBL;HMBS;RAPGEF1;HLA-DPB1;HLA-DRA;PKN1;LTB;WDFY4;ABCG4;HLA-DRB1;CD22;HLA-DQB1;DFNA5
Megakaryocyte cell line	2/17	0.10188766607626903	0.7050889095526373	0	0	4.029791666666667	9.203578264585532	LY6G5C;LY6G6E
RAJI cell	2/17	0.10188766607626903	0.7050889095526373	0	0	4.029791666666667	9.203578264585532	HLA-DRA;CD22
TZM-bl cell	2/17	0.10188766607626903	0.7050889095526373	0	0	4.029791666666667	9.203578264585532	CXCR4;GTF2E2
Bile	2/18	0.11227967216319132	0.7050889095526373	0	0	3.777734375	8.261007667152835	SERPINA1;CP
Tectum mesencephali	2/18	0.11227967216319132	0.7050889095526373	0	0	3.777734375	8.261007667152835	KRT37;DFNA5
Dok	2/18	0.11227967216319132	0.7050889095526373	0	0	3.777734375	8.261007667152835	C6ORF25;LY6G6F
Epidermal stem cell	2/18	0.11227967216319132	0.7050889095526373	0	0	3.777734375	8.261007667152835	KRT19;KRT14
Ascites	35/884	0.11789734617410541	0.7050889095526373	0	0	1.2570559801918335	2.6875114952339962	ANP32A;DDX24;RPLP1;COX4I1;OAZ1;BAG6;DNAJB1;NCLN;APMAP;TSPAN8;CHCHD6;COTL1;CLIC1;HLA-DQA1;BRD2;GADD45B;H2AFX;HLA-B;HLA-C;ACOT13;LSR;PSMB8;PRRC2A;EIF1;AES;RPS25;C6ORF48;KRT19;DDX39A;MLPH;DDX39B;FXYD3;HMBS;LEPREL4;HLA-DRA
L-929 cell	3/38	0.12182055310610235	0.7050889095526373	0	0	2.5919517102615695	5.456592792992232	FFAR2;TNF;CD3D
Gill arch	2/19	0.12293055100616848	0.7050889095526373	0	0	3.555330882352941	7.452456019942369	FOXI1;PAX3
Root nodule	7/131	0.12905353152370785	0.7050889095526373	0	0	1.7099060198120397	3.5010804318094766	HPGDS;KRT19;NLRX1;SERPINA1;KRT20;TNF;HLA-DRB1
Epidermis	2/20	0.13381304117845133	0.7050889095526373	0	0	3.357638888888889	6.753258275281773	KRT14;DMKN
Hepatopancreas	2/20	0.13381304117845133	0.7050889095526373	0	0	3.357638888888889	6.753258275281773	TMEM132D;HPGDS
Large intestine	2/20	0.13381304117845133	0.7050889095526373	0	0	3.357638888888889	6.753258275281773	ATP4A;GAST
SGS cell	3/40	0.13633203153278042	0.7050889095526373	0	0	2.4515924375079305	4.885194992411476	DDX6;USP10;RBM42
Cyst	4/62	0.1378236255002047	0.7050889095526373	0	0	2.0862609447627283	4.134511231843258	KRT19;KRT17;KRT13;KRT20
Gill	3/41	0.14379946819369097	0.7050889095526373	0	0	2.386953298739807	4.629103345322337	HPGDS;GSR;HAMP
Abscission zone	2/21	0.1449013598337782	0.7050889095526373	0	0	3.1807565789473684	6.144273988401449	KIF23;SPATA19
HeLa-S3 cell	2/21	0.1449013598337782	0.7050889095526373	0	0	3.1807565789473684	6.144273988401449	FZD10;HINFP
Medial habenular nucleus	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	KCNIP1
Medial longitudinal fasciculus	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	CHAT
Melanoblast	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	C10ORF11
Nucleus accumbens	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	DLST
OVCA-5 cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	TAP2
PLC-PRF-5 cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	ASGR2
13c4	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	ACAD8
RPMI-8226 cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	FAM64A
Anterior olfactory nucleus	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	SLC33A1
Basal cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	KRT34
SW-948 cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	KRT23
Chorionic epithelium	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	GPSM3
Choroid plexus papilloma cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	AJAP1
Endometrioid carcinoma cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	CYP24A1
Exodermis	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	NLRX1
aa94	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	DNAJB1
chp126	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	CHAT
Follicular stem cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	KRT19
Gastroduodenal mucosa	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	ATP4A
jr1	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	RHD
pd5	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	TXNDC17
HSC-4 cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	STK19
Hairy cell leukemia cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	CD22
MALME-3M cell	1/5	0.15053511007544096	0.7050889095526373	0	0	7.548361934477379	14.293268166494581	HLA-DRB5
Bone	51/1374	0.1552253630955274	0.7050889095526373	0	0	1.1763566114545085	2.191407984161526	FKBP10;CLIC4;SERPINE2;VARS;RPLP1;SYNCRIP;APMAP;COTL1;SPDL1;LRRFIP1;CLIC1;HLA-DPA1;BRD2;C5ORF58;H2AFX;HLA-B;HLA-C;ACOT13;FOS;AES;DDX39B;SYF2;CTDSP2;COL6A3;FKBP9;MCM6;ZNF277;TMED10;COL11A2;TXN;OAZ1;THBS1;RHOBTB1;BAG6;DNAJB1;GNA11;PDLIM5;HLA-DQA1;MICB;DARS;GADD45B;TMEM50A;C1ORF63;PRRC2A;EIF1;ARCN1;RPS25;C6ORF48;PKN1;LY6G5B;HSPA1A
Oral cancer cell	2/22	0.15617113605818325	0.7050889095526373	0	0	3.0215625	5.610445852424474	NDUFB7;TECR
Peripheral blood stem cell	2/22	0.15617113605818325	0.7050889095526373	0	0	3.0215625	5.610445852424474	CXCR4;FXYD5
g2	2/22	0.15617113605818325	0.7050889095526373	0	0	3.0215625	5.610445852424474	H2AFX;CDK1
Hemolymph	2/22	0.15617113605818325	0.7050889095526373	0	0	3.0215625	5.610445852424474	TMEM132D;TREH
Vascular cell	3/43	0.15912205064502213	0.7050889095526373	0	0	2.2673708920187794	4.167617607957624	MCAM;THBS1;TNF
Spindle cell	4/66	0.1618167053500254	0.7050889095526373	0	0	1.9512589746182627	3.5538104730987032	SERPINA3;KRT19;SERPINA1;KRT14
Cerebrospinal fluid	3/44	0.16696298169831159	0.7050889095526373	0	0	2.211954654757815	3.9593615774228277	C4A;SERPINA1;CP
ChaGo-K-1 cell	2/23	0.16759934710711785	0.7050889095526373	0	0	2.877529761904762	5.139783193696589	LPHN1;MPP6
pi1	2/23	0.16759934710711785	0.7050889095526373	0	0	2.877529761904762	5.139783193696589	HPGDS;SERPINA4
Internode	2/23	0.16759934710711785	0.7050889095526373	0	0	2.877529761904762	5.139783193696589	MAG;EIF1
B-lymphocyte cell line	12/273	0.16984083187218876	0.7050889095526373	0	0	1.3936872833424558	2.4708592143416994	LSM7;ALDH5A1;TNXB;COX4I1;HLA-DPB1;ZBTB32;HLA-DRA;HLA-DOB;WDFY4;USF2;HLA-DRB1;GPSM3
Larynx	12/275	0.17582412062404673	0.7050889095526373	0	0	1.3829440521455731	2.4039316763107617	SERPINA3;JUP;KRT17;KRT16;KRT14;HLA-B;KRT13;YLPM1;HLA-C;KRT23;HLA-DQA1;HSPA1A
Monocyte	257/7640	0.17624801812696658	0.7050889095526373	0	0	1.082717228592889	1.8794488653843002	VARS;CLEC10A;LST1;FCF1;THYN1;ZDHHC7;PWP1;TXNDC17;C4B;C4A;CNST;ZXDC;FAM65B;AP1S3;SCN1B;MBNL1;ATP6V1G2;SECISBP2;HLA-B;HLA-C;ACSL3;RUNX3;SRRM1;KRT9;DDX39A;DDX39B;CRISPLD2;CSNK2B;CFB;GPLD1;ZNF277;NLRX1;ANP32A;VPS26B;TXN;OAZ1;C2;ATP5L;KRT33B;APOM;NEU1;C19ORF35;GSE1;HLA-DQA2;HLA-DQA1;HLA-DRB5;JUP;GADD45B;TMEM50A;MCAM;PBX2;CP;PRRC2A;EIF1;SETX;ATP4A;RPS25;FAM135B;TDP2;GIPC1;ZNF30;PLCH1;HYOU1;PPT2;AVL9;HAMP;HLA-DRB1;C2CD2L;FARSB;CLIC4;SERPINA1;RPLP1;SERPINA10;TECR;SERPINA6;KRT20;SERPINA4;SERPINA5;ASGR2;SYNCRIP;GLT1D1;IMMP2L;C14ORF1;UBXN4;CLIC1;HLA-DPA1;PSENEN;BRD2;RING1;KRT35;C6ORF62;KIF23;FOS;KRT32;KRT31;MRPL44;AES;KRT38;KRT37;KRT36;CKS2;RAPGEF1;HLA-DQB1;TNXB;MCCD1;TIMM13;DLST;CXCR4;AIF1;HSD17B8;RHD;RXRB;KIAA0513;PPP2CB;HLA-DMA;HLA-DMB;RNASEK-C17ORF49;MICB;GINS2;HSPA1L;GSR;YLPM1;EMR2;KRT13;KRT12;PSMB8;PSMB9;ARCN1;C12ORF23;C6ORF48;KRT19;KRT17;RFWD2;KRT16;KRT15;KIF26B;KBTBD2;KRT14;HLA-DPB1;RIMBP2;ZNF217;PKN1;LY6G5B;RAMP1;HSPA1B;HSPA1A;DPAGT1;KCNG4;PRDM4;OGDHL;TMEM147;APMAP;COTL1;IGFLR1;KRTAP3-2;HLA-DOB;GYG1;CD97;TLE2;LMO4;TAP2;TAP1;UBE4A;ACYP1;ALG10;TLE6;COX6B1;C6ORF25;ILVBL;MSH5;GAPDHS;WDFY1;ZNF554;WDFY4;RHCE;FTO;DDX6;TMED10;NOTCH4;GMPS;GTF2E2;BAG6;TMEM25;ARHGAP21;PDZD3;PLXNA1;KRTAP4-2;SLC15A4;UBE2F;NEK9;DARS;EIF2B2;TRAPPC4;DCDC2;C1ORF63;LSM5;QKI;LSM2;LSM7;HLA-DRA;SKIV2L;XAF1;DOCK4;HSPB6;COX4I1;CELF5;DMKN;LMNB2;ABHD16A;LRRFIP1;GPSM3;TSFM;H2AFX;C10ORF11;SAPCD1;SYF2;DDAH2;CTDSP2;CRY1;COL6A3;IRF8;LCP2;MCM6;LCT;DOCK2;PFDN4;EGFL8;THOP1;NDUFB7;DDX24;USP10;AGPAT1;CBL;RNF5;THBS1;U2AF1L4;RAB21;DNAJB1;GNA15;NCLN;TAF1C;GNG7;GNA11;ZNF503;C3ORF33;ACSS1;PDLIM5;S1PR4;MBTPS1;LINGO3;SEMA4D;IRX3;SGTA;ZFC3H1;USF2;JSRP1;RBM42
