Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Amniocyte	1/27	0.5858372617659693	0.8205625970783479	0	0	1.1599663986559463	0.6202493893105814	RHCE
Seminiferous tubule	1/27	0.5858372617659693	0.8205625970783479	0	0	1.1599663986559463	0.6202493893105814	BCL6B
Vestibular hair cell	1/27	0.5858372617659693	0.8205625970783479	0	0	1.1599663986559463	0.6202493893105814	PTPRR
HMEpC cell	1/27	0.5858372617659693	0.8205625970783479	0	0	1.1599663986559463	0.6202493893105814	ZNF217
Hypodermal seam cell	1/27	0.5858372617659693	0.8205625970783479	0	0	1.1599663986559463	0.6202493893105814	NEK9
Prostate gland epithelium	14/450	0.5859573017077091	0.8205625970783479	0	0	0.9674954712791445	0.5171344138294172	P2RY12;RNASEK;SLC44A4;TECR;WFDC1;ATP2C2;AIF1;MED31;RCAN3;LCP2;BMPR1B;PFDN4;BCL9L;RBM44
Trophoblast	5/161	0.5925112060504966	0.8249488159791216	0	0	0.966167532101598	0.5056780700963589	HLA-B;HLA-C;TNF;PGF;PAPPA2
Interstitial cell of Cajal	6/194	0.5941238825904275	0.8249488159791216	0	0	0.9619630670413488	0.5008628328834089	SYNCRIP;SERPINA1;DDAH2;COTL1;TXN;HSPA1A
Breast cancer cell line	7/227	0.596105655433621	0.8249488159791216	0	0	0.9589549033643522	0.4961031917465546	KRT19;HPGDS;H2AFX;CDK1;CXCR4;FOS;TNF
Perichondrium	1/28	0.5991498175674921	0.8249488159791216	0	0	1.1169469000982262	0.5721489003770684	SOX6
Secondary spermatocyte	1/28	0.5991498175674921	0.8249488159791216	0	0	1.1169469000982262	0.5721489003770684	RBM44
Swiss-3T3 cell	1/28	0.5991498175674921	0.8249488159791216	0	0	1.1169469000982262	0.5721489003770684	FOS
Choroid	1/28	0.5991498175674921	0.8249488159791216	0	0	1.1169469000982262	0.5721489003770684	GLB1L3
DAUDI cell	1/28	0.5991498175674921	0.8249488159791216	0	0	1.1169469000982262	0.5721489003770684	CD22
Mantle	1/28	0.5991498175674921	0.8249488159791216	0	0	1.1169469000982262	0.5721489003770684	CD22
