Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Tmm	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	ANO2
Df	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	STIL
WIL-2 cell	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	TRIM21
b95a	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	CEACAM3
i10	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	ASPN
Great saphenous vein	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	ARHGAP26
nb41a3	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	C21ORF2
tsA-201 cell	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	ASPN
Intestinal juice	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	CD79A
Kmp	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	CLPB
Lek	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	CENPN
ML-2 cell	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	RSPH6A
MOPC-315 cell	1/5	0.10824467598320843	0.695001223340954	0	0	10.809181415929203	24.032713438834104	CD79A
Acute lymphoblastic leukemia cell	3/51	0.10864546587147017	0.695001223340954	0	0	2.7081944444444446	6.011285246606813	IL7;ABL1;NR3C1
Gastric adenocarcinoma cell	2/25	0.10919529573587765	0.695001223340954	0	0	3.764388315819917	8.336679472853202	CD274;TFF1
Bacteroid	2/25	0.10919529573587765	0.695001223340954	0	0	3.764388315819917	8.336679472853202	CLPB;SYMPK
Female pudendum	2/25	0.10919529573587765	0.695001223340954	0	0	3.764388315819917	8.336679472853202	KANSL2;HIF3A
Ovary cancer cell	7/179	0.11307467613218815	0.695001223340954	0	0	1.7679763270414015	3.8536700714553254	FUBP3;TMPRSS3;HNRNPA2B1;ERF;DYNLRB2;FOLR1;SNX5
Amniotic fluid	3/52	0.11346446235913399	0.695001223340954	0	0	2.6527891156462586	5.773173691280695	ITGB1;CD79A;PAPPA
Lymphocyte	4/84	0.12316764829771511	0.695001223340954	0	0	2.1678173719376392	4.539862341435283	DUT;FAT1;FOLR1;SKAP2
Meniscus	2/27	0.12411795809818417	0.695001223340954	0	0	3.4628824833702883	7.22538356889579	COL2A1;FBN1
Barrett's esophagus	2/27	0.12411795809818417	0.695001223340954	0	0	3.4628824833702883	7.22538356889579	TFF2;RNF121
